"","race","classtype","yearssmall","hsgrad","g4math","g4reading"
"1",1,3,0,NA,NA,NA
"2",2,3,0,NA,706,661
"3",1,3,0,1,711,750
"4",2,1,4,NA,672,659
"5",1,2,0,NA,NA,NA
"6",1,3,0,NA,NA,NA
"7",1,1,4,NA,668,657
"8",1,3,0,NA,NA,NA
"9",1,1,4,1,709,725
"10",1,2,0,1,698,692
"11",1,3,0,NA,NA,NA
"12",1,3,0,NA,NA,NA
"13",2,2,0,1,NA,NA
"14",1,3,0,NA,NA,NA
"15",1,3,0,1,NA,NA
"16",1,3,0,NA,NA,NA
"17",1,1,1,NA,NA,NA
"18",1,2,2,NA,NA,NA
"19",1,3,0,NA,733,672
"20",1,3,0,NA,NA,NA
"21",1,2,1,NA,NA,NA
"22",2,1,4,NA,NA,NA
"23",1,1,1,NA,NA,NA
"24",1,3,0,NA,NA,NA
"25",2,2,0,1,NA,NA
"26",1,1,2,NA,NA,NA
"27",1,1,4,1,740,836
"28",1,2,0,1,NA,NA
"29",1,3,0,NA,NA,NA
"30",1,2,0,NA,NA,NA
"31",1,3,3,NA,NA,NA
"32",1,3,0,NA,716,679
"33",1,3,0,NA,NA,NA
"34",1,2,0,NA,758,836
"35",1,3,3,NA,720,764
"36",2,2,0,1,NA,NA
"37",2,3,0,1,NA,NA
"38",1,3,0,NA,NA,NA
"39",1,1,4,NA,685,785
"40",1,1,4,1,771,725
"41",2,3,0,NA,NA,NA
"42",2,1,1,1,NA,NA
"43",2,3,0,NA,NA,NA
"44",2,1,1,NA,NA,NA
"45",2,3,0,NA,NA,NA
"46",2,1,2,0,NA,NA
"47",2,1,3,1,NA,NA
"48",1,1,4,1,709,761
"49",2,1,3,NA,NA,NA
"50",2,1,2,0,NA,NA
"51",2,2,0,NA,NA,NA
"52",2,1,1,0,NA,NA
"53",2,3,1,NA,NA,NA
"54",1,1,3,NA,NA,NA
"55",1,1,1,1,NA,NA
"56",2,3,0,NA,NA,NA
"57",2,3,3,NA,NA,NA
"58",1,1,4,NA,679,678
"59",1,3,0,NA,NA,NA
"60",1,2,0,NA,NA,NA
"61",2,1,1,1,NA,NA
"62",2,3,0,NA,NA,NA
"63",2,3,0,NA,NA,NA
"64",2,1,1,NA,NA,NA
"65",1,2,0,NA,NA,NA
"66",1,2,0,NA,NA,NA
"67",1,2,1,1,NA,NA
"68",1,3,0,1,NA,NA
"69",1,3,0,0,NA,NA
"70",1,2,0,1,698,778
"71",1,2,0,NA,NA,NA
"72",1,2,0,NA,NA,NA
"73",2,2,0,0,NA,NA
"74",2,1,1,NA,NA,NA
"75",2,2,0,NA,NA,NA
"76",1,3,3,NA,681,670
"77",1,3,0,NA,NA,NA
"78",1,3,0,NA,NA,NA
"79",1,3,0,NA,NA,NA
"80",1,1,2,NA,NA,NA
"81",1,2,0,NA,NA,NA
"82",1,3,0,0,NA,NA
"83",1,3,0,0,NA,NA
"84",1,2,0,NA,NA,NA
"85",1,2,0,NA,NA,NA
"86",1,2,0,NA,NA,NA
"87",1,3,0,1,673,665
"88",1,3,0,1,NA,NA
"89",1,2,1,NA,NA,NA
"90",2,3,0,NA,NA,NA
"91",2,3,0,NA,NA,NA
"92",1,2,0,NA,NA,NA
"93",1,3,0,NA,NA,NA
"94",1,3,0,NA,NA,NA
"95",1,2,0,0,NA,NA
"96",1,3,0,NA,644,702
"97",2,3,0,NA,NA,NA
"98",2,3,0,NA,NA,NA
"99",1,3,0,NA,NA,NA
"100",1,3,0,NA,NA,NA
"101",1,3,0,NA,NA,NA
"102",1,3,0,NA,NA,NA
"103",1,3,0,0,NA,NA
"104",2,2,0,0,NA,NA
"105",1,2,0,NA,NA,NA
"106",2,1,1,NA,NA,NA
"107",1,2,0,NA,NA,NA
"108",2,2,0,NA,NA,NA
"109",1,2,0,0,744,735
"110",1,2,0,NA,NA,NA
"111",1,2,0,1,NA,NA
"112",2,3,0,1,NA,NA
"113",1,3,0,0,NA,NA
"114",2,1,1,NA,NA,NA
"115",1,1,2,1,NA,NA
"116",1,2,0,NA,NA,NA
"117",2,2,0,NA,NA,NA
"118",1,3,0,NA,NA,NA
"119",1,3,2,NA,NA,NA
"120",2,2,0,NA,690,570
"121",2,3,0,NA,NA,NA
"122",1,1,1,NA,NA,NA
"123",2,2,0,NA,NA,NA
"124",1,3,1,NA,NA,NA
"125",2,3,0,NA,NA,NA
"126",1,3,0,NA,NA,NA
"127",1,3,0,NA,740,728
"128",1,3,0,1,731,698
"129",1,2,0,1,727,750
"130",2,1,3,NA,NA,NA
"131",1,2,0,0,487,616
"132",1,2,1,0,674,675
"133",2,1,1,NA,NA,NA
"134",1,2,0,NA,NA,NA
"135",1,3,0,NA,676,629
"136",2,2,0,0,666,644
"137",1,2,0,NA,NA,NA
"138",2,2,0,1,NA,NA
"139",2,3,0,NA,NA,NA
"140",2,3,0,NA,NA,NA
"141",1,2,0,1,664,528
"142",2,1,3,NA,NA,NA
"143",2,3,0,0,744,732
"144",2,2,0,NA,NA,NA
"145",2,3,0,NA,NA,NA
"146",1,2,3,NA,736,782
"147",2,2,0,NA,NA,NA
"148",1,2,0,NA,NA,NA
"149",2,3,0,NA,NA,NA
"150",2,1,1,0,NA,NA
"151",1,2,0,1,702,771
"152",1,3,0,1,667,729
"153",1,1,4,1,744,772
"154",1,2,0,1,NA,NA
"155",1,1,1,NA,NA,NA
"156",2,2,0,1,654,647
"157",1,3,0,NA,665,739
"158",2,2,0,NA,NA,NA
"159",1,3,0,1,NA,NA
"160",1,3,0,1,NA,NA
"161",1,2,0,NA,NA,NA
"162",1,1,1,NA,NA,NA
"163",1,1,4,NA,NA,NA
